epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.00157,2.96711,4.8622,2.86496,0.00054,0.16129,0.00031,7e-05,3.19377,5.31159,3.1406,0.0982,0.0002,0.0002
2,10.4129,2.93059,5.04872,2.84783,0.00054,0.16129,0.00032,0.0001,3.16757,5.36513,3.10951,0.095495,0.00049505,0.00049505
3,14.2702,2.81122,5.12741,2.7585,0.00065,0.19355,0.00039,0.00011,3.15258,5.32023,3.07447,0.0927842,0.00078416,0.00078416
4,18.2587,2.86015,4.52518,2.84848,0.00328,0.98387,0.03039,0.0084,1.84578,3.67155,1.8715,0.0900673,0.00106733,0.00106733
5,22.8516,2.22113,3.40279,2.46751,0.00179,0.51613,0.002,0.00045,1.78557,4.00175,2.33409,0.0873446,0.00134456,0.00134456
6,27.6309,2.31457,3.19608,2.55516,0.00027,0.08065,0.00016,5e-05,3.08102,3.6675,6.02836,0.0846159,0.00161585,0.00161585
7,32.1262,2.35094,3.14068,2.47668,0,0,0,0,4.16042,4.30552,11.9482,0.0818812,0.0018812,0.0018812
8,36.5738,2.17491,3.00177,2.42129,0,0,0,0,nan,nan,nan,0.0791406,0.00214061,0.00214061
9,41.3611,2.09525,2.95637,2.40801,0,0,0,0,nan,nan,nan,0.0763941,0.00239408,0.00239408
10,46.1448,2.074,2.88286,2.36324,0,0,0,0,nan,nan,nan,0.0736416,0.00264161,0.00264161
11,50.7878,2.26072,2.96988,2.63053,0,0,0,0,nan,nan,nan,0.0708832,0.0028832,0.0028832
12,55.2315,2.40214,2.77079,2.64656,0,0,0,0,nan,nan,nan,0.0681189,0.00311885,0.00311885
13,59.8189,2.0782,2.74393,2.42168,0,0,0,0,nan,nan,nan,0.0653486,0.00334856,0.00334856
14,64.4245,2.02645,2.69629,2.47931,0,0,0,0,nan,nan,nan,0.0625723,0.00357233,0.00357233
