epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91433,0,206.124,0,0,0,0,0,0,313.5,0,0.0982,0.0002,0.0002
2,14.597,0,206.147,0,0,0,0,0,0,313.5,0,0.095495,0.00049505,0.00049505
3,18.1948,0,206.154,0,0,0,0,0,0,313.5,0,0.0927842,0.00078416,0.00078416
4,23.0536,0,206.15,0,0,0,0,0,0,295,0,0.0900673,0.00106733,0.00106733
5,27.205,0,152.441,0,0,0,0,0,0,45.9688,0,0.0873446,0.00134456,0.00134456
6,31.721,0,67.7288,0,0,0,0,0,0,4.97656,0,0.0846159,0.00161585,0.00161585
7,35.6306,0,26.5464,0,0,0,0,0,0,0,0,0.0818812,0.0018812,0.0018812
8,39.4131,0,10.4919,0,0,0,0,0,0,0,0,0.0791406,0.00214061,0.00214061
9,43.1096,0,3.97721,0,0,0,0,0,0,nan,0,0.0763941,0.00239408,0.00239408
10,47.6414,0,1.39813,0,0,0,0,0,0,nan,0,0.0736416,0.00264161,0.00264161
11,51.9853,0,0.44466,0,0,0,0,0,0,nan,0,0.0708832,0.0028832,0.0028832
12,56.6203,0,0.09709,0,0,0,0,0,0,nan,0,0.0681189,0.00311885,0.00311885
13,62.1335,0,0.02232,0,0,0,0,0,0,nan,0,0.0653486,0.00334856,0.00334856
14,67.7813,0,0.00353,0,0,0,0,0,0,nan,0,0.0625723,0.00357233,0.00357233
15,72.9359,0,9e-05,0,0,0,0,0,0,nan,0,0.0597902,0.00379016,0.00379016
