epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1190.82,1.0137,0.76305,1.2443,0.9159,0.86321,0.93306,0.67569,0.96829,0.67287,1.19274,0.005743,0.005743,0.005743
45,1216.8,1.0468,0.78289,1.25132,0.9043,0.9033,0.95208,0.70491,0.96056,0.65829,1.17429,0.005644,0.005644,0.005644
46,1242.88,1.02608,0.75811,1.24459,0.92839,0.90802,0.95284,0.70269,0.9207,0.63195,1.15358,0.005545,0.005545,0.005545
47,1269.9,1.07554,0.83898,1.29673,0.9375,0.88679,0.95178,0.71418,0.93096,0.61791,1.15354,0.005446,0.005446,0.005446
48,1298.11,1.06022,0.77373,1.27809,0.9333,0.87028,0.93535,0.68786,0.95176,0.66295,1.18462,0.005347,0.005347,0.005347
49,1326.42,1.05754,0.76065,1.24228,0.90694,0.81132,0.89429,0.63626,1.10424,0.89733,1.25348,0.005248,0.005248,0.005248
50,1352.93,1.04389,0.78285,1.26096,0.89985,0.91118,0.961,0.72715,0.90675,0.57896,1.14878,0.005149,0.005149,0.005149
51,1378.61,1.06701,0.79645,1.26282,0.9269,0.86723,0.95187,0.72103,0.95097,0.66669,1.1657,0.00505,0.00505,0.00505
52,1404.56,1.01737,0.75961,1.24951,0.93016,0.92217,0.97011,0.72896,0.89806,0.57527,1.14392,0.004951,0.004951,0.004951
53,1429.69,1.01734,0.74597,1.22221,0.9377,0.92296,0.96325,0.72809,0.86839,0.57641,1.1206,0.004852,0.004852,0.004852
54,1455.97,1.03495,0.73613,1.25459,0.95507,0.92217,0.9637,0.72981,0.88508,0.56245,1.10228,0.004753,0.004753,0.004753
55,1481.64,1.07259,0.8238,1.29035,0.92691,0.92716,0.96757,0.74922,0.84467,0.55634,1.09695,0.004654,0.004654,0.004654
56,1506.67,1.02345,0.73201,1.22545,0.95323,0.91329,0.95376,0.73884,0.86943,0.59997,1.11231,0.004555,0.004555,0.004555
57,1532.88,1.05054,0.76889,1.25738,0.93814,0.92217,0.96211,0.70038,0.96637,0.58675,1.19392,0.004456,0.004456,0.004456
58,1558.89,0.99922,0.68659,1.22327,0.95612,0.92501,0.96561,0.74361,0.86426,0.54248,1.10555,0.004357,0.004357,0.004357
59,1584.82,0.98352,0.73318,1.23414,0.94225,0.92358,0.96916,0.7454,0.86925,0.56079,1.11973,0.004258,0.004258,0.004258
60,1613.19,0.9799,0.69835,1.21311,0.96987,0.91112,0.97453,0.74959,0.8667,0.539,1.10925,0.004159,0.004159,0.004159
61,1639.71,0.96208,0.69349,1.18991,0.93949,0.88208,0.95642,0.74656,0.84794,0.55504,1.10111,0.00406,0.00406,0.00406
62,1665.46,0.95216,0.67843,1.18642,0.95028,0.9467,0.97733,0.75693,0.81999,0.50234,1.08455,0.003961,0.003961,0.003961
63,1691.78,0.96372,0.68652,1.19964,0.94489,0.92925,0.97167,0.7525,0.86721,0.50924,1.09601,0.003862,0.003862,0.003862
64,1717.72,0.9551,0.63492,1.19277,0.93517,0.91851,0.96235,0.74507,0.8441,0.5318,1.09506,0.003763,0.003763,0.003763
65,1744.08,0.96852,0.65974,1.20118,0.94555,0.94196,0.97416,0.76982,0.79745,0.513,1.06586,0.003664,0.003664,0.003664
66,1770.26,0.95596,0.67894,1.20054,0.93835,0.89387,0.96553,0.75467,0.85501,0.54749,1.10274,0.003565,0.003565,0.003565
67,1796.44,0.9811,0.68083,1.21153,0.95115,0.92453,0.97189,0.76039,0.8225,0.51276,1.08366,0.003466,0.003466,0.003466
68,1823.48,0.9655,0.64373,1.19829,0.94102,0.92453,0.96889,0.76051,0.84875,0.52269,1.09137,0.003367,0.003367,0.003367
69,1849.41,0.98586,0.67614,1.21354,0.92847,0.93632,0.96954,0.75174,0.85022,0.51647,1.09358,0.003268,0.003268,0.003268
70,1875.36,0.95141,0.6748,1.19692,0.93115,0.925,0.9639,0.7408,0.82876,0.54738,1.08643,0.003169,0.003169,0.003169
71,1902.04,0.96124,0.66245,1.17965,0.95966,0.95389,0.98107,0.78127,0.78593,0.47568,1.05141,0.00307,0.00307,0.00307
72,1927.61,0.93125,0.68425,1.18408,0.92792,0.94116,0.9742,0.78277,0.77921,0.49795,1.0493,0.002971,0.002971,0.002971
73,1955.26,0.93218,0.66121,1.18816,0.9541,0.92925,0.97723,0.78281,0.78984,0.47491,1.05783,0.002872,0.002872,0.002872
74,1980.84,0.99043,0.70908,1.22904,0.93874,0.93969,0.97435,0.7782,0.78866,0.49625,1.05601,0.002773,0.002773,0.002773
75,2005.93,0.96392,0.64328,1.20504,0.94392,0.89387,0.96485,0.75067,0.82392,0.55069,1.08177,0.002674,0.002674,0.002674
76,2030.77,0.93754,0.63747,1.17194,0.95654,0.92689,0.97436,0.77201,0.80508,0.49154,1.06189,0.002575,0.002575,0.002575
77,2058.62,0.916,0.62124,1.17074,0.96267,0.93396,0.97433,0.77473,0.77441,0.4726,1.04147,0.002476,0.002476,0.002476
78,2083.27,0.91012,0.61537,1.16551,0.94249,0.95047,0.97939,0.78053,0.7655,0.45795,1.03559,0.002377,0.002377,0.002377
79,2107.54,0.94865,0.62307,1.18563,0.94852,0.93396,0.97962,0.7852,0.76077,0.46295,1.03911,0.002278,0.002278,0.002278
80,2132.34,0.93416,0.62579,1.1733,0.95801,0.92925,0.97958,0.79559,0.76715,0.46449,1.03338,0.002179,0.002179,0.002179
81,2156.59,0.88086,0.68912,1.13266,0.94592,0.94888,0.97777,0.79593,0.74151,0.46218,1.02908,0.00208,0.00208,0.00208
82,2180.61,0.90948,0.61281,1.18298,0.95656,0.93475,0.97515,0.79753,0.75531,0.45143,1.0311,0.001981,0.001981,0.001981
83,2204.27,0.86937,0.66155,1.11999,0.94372,0.94919,0.97183,0.76954,0.78639,0.45361,1.05092,0.001882,0.001882,0.001882
84,2227.95,0.89324,0.59596,1.14828,0.94899,0.93632,0.97673,0.78886,0.77371,0.45382,1.03827,0.001783,0.001783,0.001783
85,2252.83,0.90488,0.60051,1.16332,0.96587,0.93455,0.98063,0.79548,0.7474,0.44339,1.029,0.001684,0.001684,0.001684
86,2281.01,0.92767,0.60981,1.17816,0.95527,0.94104,0.97651,0.7997,0.7359,0.43229,1.02126,0.001585,0.001585,0.001585
87,2310.16,0.87516,0.57457,1.1409,0.95525,0.95664,0.98187,0.80538,0.73933,0.42037,1.01455,0.001486,0.001486,0.001486
88,2338.16,0.8717,0.58117,1.13938,0.95742,0.95467,0.98018,0.79801,0.7476,0.43802,1.02646,0.001387,0.001387,0.001387
89,2365.93,0.87131,0.56197,1.14033,0.95885,0.9343,0.97919,0.80241,0.73097,0.42374,1.01517,0.001288,0.001288,0.001288
90,2393.98,0.87981,0.575,1.13512,0.94667,0.95047,0.98096,0.81089,0.71486,0.43025,1.00398,0.001189,0.001189,0.001189
91,2420.08,0.75287,0.48893,1.05443,0.95718,0.94899,0.97696,0.80215,0.73358,0.42971,1.01539,0.00109,0.00109,0.00109
92,2446.06,0.7594,0.46587,1.05872,0.95163,0.95047,0.97994,0.80793,0.71096,0.42321,1.00227,0.000991,0.000991,0.000991
93,2470.96,0.76906,0.45363,1.07184,0.95913,0.94083,0.97973,0.80587,0.72906,0.41256,1.01191,0.000892,0.000892,0.000892
94,2495.21,0.75965,0.45909,1.05315,0.95956,0.9316,0.98055,0.81935,0.69096,0.40761,0.99886,0.000793,0.000793,0.000793
95,2522.68,0.77907,0.46815,1.07547,0.95958,0.95174,0.98345,0.81331,0.69575,0.40921,1.00005,0.000694,0.000694,0.000694
96,2550.75,0.74346,0.44445,1.0545,0.95711,0.95283,0.981,0.81537,0.69976,0.40602,1.00247,0.000595,0.000595,0.000595
97,2578.93,0.73225,0.43647,1.05324,0.94021,0.96428,0.98214,0.81795,0.69049,0.4031,0.99534,0.000496,0.000496,0.000496
98,2603,0.73605,0.4444,1.04493,0.95951,0.95022,0.98236,0.82206,0.6828,0.39857,0.98974,0.000397,0.000397,0.000397
99,2625.95,0.73263,0.42949,1.04724,0.96239,0.95047,0.98317,0.82291,0.68299,0.39748,0.98914,0.000298,0.000298,0.000298
100,2648.92,0.72516,0.43131,1.03754,0.96024,0.95047,0.98354,0.82373,0.68099,0.39409,0.99077,0.000199,0.000199,0.000199
